user_id,role,count
3588962,asker,30399
3373248,asker,27658
730226,asker,23702
3413249,asker,22075
3199006,asker,17990
1061058,asker,13428
853100,asker,12952
1206146,asker,10575
3065420,asker,10494
679197,asker,9832
793767,asker,9486
607370,asker,9381
98211,asker,8726
3561802,asker,8478
2361792,asker,7390
1053962,asker,7317
2855630,asker,7102
2172146,asker,6951
934379,asker,6782
1144761,asker,6262
810401,answerer,25356
3413249,answerer,24735
1364605,answerer,23151
1049966,answerer,20391
1458295,answerer,15938
367428,answerer,13411
1254217,answerer,10630
3065420,answerer,10264
202949,answerer,9899
1053962,answerer,9311
1149700,answerer,8675
732878,answerer,8508
478338,answerer,8444
1019419,answerer,8292
1151861,answerer,8066
793767,answerer,7541
607370,answerer,7517
910595,answerer,7505
472960,answerer,6969
431438,answerer,6805
